input_node,neighbor_node,weight
123,1757,0.05714285714285714
123,1774,0.05714285714285714
123,1783,0.05714285714285714
123,1790,0.05714285714285714
123,1799,0.05714285714285714
123,1803,0.05714285714285714
123,1813,0.05714285714285714
123,1822,0.05714285714285714
123,1844,0.05714285714285714
123,1846,0.05714285714285714
124,1695,0.016666666666666666
124,1709,0.06666666666666667
124,1712,0.016666666666666666
124,1715,0.06666666666666667
124,1719,0.08333333333333333
124,1724,0.08333333333333333
124,1728,0.06666666666666667
124,1736,0.016666666666666666
124,1745,0.08333333333333333
124,1757,0.08333333333333333
124,1775,0.06666666666666667
124,1782,0.06666666666666667
124,1790,0.06666666666666667
124,1808,0.08333333333333333
124,1811,0.08333333333333333
124,1856,0.05
125,1696,0.08108108108108109
125,1711,0.10810810810810811
125,1723,0.02702702702702703
125,1732,0.02702702702702703
125,1737,0.10810810810810811
125,1738,0.08108108108108109
125,1746,0.10810810810810811
125,1749,0.13513513513513514
125,1756,0.05405405405405406
125,1779,0.08108108108108109
125,1786,0.08108108108108109
125,1808,0.10810810810810811
126,1695,0.1
126,1698,0.1
126,1701,0.1
126,1709,0.1
126,1753,0.1
126,1774,0.1
126,1796,0.1
126,1806,0.1
126,1809,0.1
126,1845,0.1
127,1695,0.3333333333333333
127,1698,0.3333333333333333
127,1746,0.3333333333333333
128,1695,0.038461538461538464
128,1698,0.038461538461538464
128,1700,0.11538461538461539
128,1711,0.15384615384615385
128,1722,0.15384615384615385
128,1785,0.11538461538461539
128,1789,0.11538461538461539
128,1830,0.11538461538461539
128,1840,0.15384615384615385
129,1695,0.047619047619047616
129,1696,0.14285714285714285
129,1738,0.14285714285714285
129,1743,0.047619047619047616
129,1757,0.047619047619047616
129,1779,0.14285714285714285
129,1784,0.14285714285714285
129,1786,0.14285714285714285
129,1817,0.14285714285714285
130,1695,0.023809523809523808
130,1698,0.023809523809523808
130,1711,0.07142857142857142
130,1713,0.09523809523809523
130,1716,0.09523809523809523
130,1724,0.047619047619047616
130,1730,0.09523809523809523
130,1739,0.07142857142857142
130,1740,0.023809523809523808
130,1744,0.023809523809523808
130,1756,0.047619047619047616
130,1783,0.023809523809523808
130,1785,0.09523809523809523
130,1786,0.047619047619047616
130,1789,0.09523809523809523
130,1828,0.023809523809523808
130,1851,0.09523809523809523
131,1695,0.3333333333333333
131,1731,0.6666666666666666
132,1695,0.02857142857142857
132,1698,0.02857142857142857
132,1699,0.11428571428571428
132,1702,0.08571428571428572
132,1706,0.05714285714285714
132,1728,0.11428571428571428
132,1729,0.05714285714285714
132,1746,0.11428571428571428
132,1765,0.05714285714285714
132,1789,0.11428571428571428
132,1790,0.11428571428571428
132,1818,0.02857142857142857
132,1819,0.05714285714285714
132,1828,0.02857142857142857
133,1695,0.0041841004184100415
133,1697,0.03765690376569038
133,1699,0.04602510460251046
133,1704,0.04602510460251046
133,1705,0.04602510460251046
133,1709,0.04602510460251046
133,1710,0.04602510460251046
133,1713,0.04602510460251046
133,1715,0.04602510460251046
133,1720,0.04602510460251046
133,1733,0.04602510460251046
133,1736,0.0041841004184100415
133,1737,0.04602510460251046
133,1740,0.04602510460251046
133,1742,0.04602510460251046
133,1744,0.04602510460251046
133,1749,0.04602510460251046
133,1752,0.04602510460251046
133,1758,0.02092050209205021
133,1775,0.03347280334728033
133,1779,0.03347280334728033
133,1786,0.008368200836820083
133,1790,0.04602510460251046
133,1803,0.02092050209205021
133,1833,0.04602510460251046
133,1836,0.04602510460251046
133,1857,0.008368200836820083
134,1695,0.017857142857142856
134,1698,0.017857142857142856
134,1699,0.07142857142857142
134,1702,0.07142857142857142
134,1705,0.07142857142857142
134,1707,0.07142857142857142
134,1720,0.07142857142857142
134,1727,0.05357142857142857
134,1728,0.07142857142857142
134,1737,0.07142857142857142
134,1742,0.07142857142857142
134,1749,0.07142857142857142
134,1757,0.017857142857142856
134,1775,0.07142857142857142
134,1790,0.07142857142857142
134,1813,0.07142857142857142
134,1828,0.017857142857142856
134,1857,0.017857142857142856
135,1695,0.3333333333333333
135,1698,0.3333333333333333
135,1809,0.3333333333333333
136,1695,0.3333333333333333
136,1698,0.3333333333333333
136,1809,0.3333333333333333
137,1695,0.047619047619047616
137,1698,0.047619047619047616
137,1728,0.09523809523809523
137,1746,0.09523809523809523
137,1757,0.09523809523809523
137,1758,0.09523809523809523
137,1762,0.047619047619047616
137,1763,0.09523809523809523
